,key,Brewery Key,Style Key,Description,ABV,Ave Rating,Min IBU,Max IBU,Astringency_customer,Body_customer,Alcohol_customer,Bitter_customer,Sweet_customer,Sour_customer,Salty_customer,Fruits_customer,Hoppy_customer,Spices_customer,Malty_customer,Astringency_description,Body_description,Alcohol_description,Bitter_description,Sweet_description,Sour_description,Salty_description,Fruits_description,Hoppy_description,Spices_description,Malty_description
14,265,824,8,This fruity estery double altbier is brewed in the traditional ish style of the Doppelsticke which is the widely known secret Germanic esque strong ale Like it California Common counterpart we fermented this ale at lower temperature to pull out the sulphur bite from the yeast then dry hopped it with some dank Sticky hops including some brand spankin new Enigma hops from the great Down Under IBUs ,7.7,4.07,25,50,24,44,27,79,73,88,2,114,92,9,51,1,0,0,1,1,0,0,0,1,0,1
15,266,599,8,The name isn a coincidence This Düsseldorf style Altbier blends caramelized malted barley with pronounced hop character to create subtle copper hue Copperhead Ale is famous for its signature balanced flavor impeccable smoothness ,5.2,3.37,25,50,9,32,9,29,54,13,1,11,32,2,112,1,0,0,1,0,0,0,0,1,0,1
16,267,1428,8,A Doppelsticke Altbier brewed for Victory Brewing th Anniversary released in Feb and debuting at BeerAdvocate rd Annual Extreme Beer Fest in dark ale with malty depth but with the fragrance and bold brassy tang of European hops According to Victory they believe that this could be the first Doppelsticke brewed in the US ,8.5,3.96,25,50,14,55,31,48,105,31,0,37,59,19,115,0,1,0,0,1,0,0,1,0,0,0
17,268,962,8,Three Blind Mice is inspired by our favorite qualities from English brown ales German altbiers and Irish reds Mother trio of beer connoisseurs sipped away many night working to find this ideal combination Mother beautiful brown beer is medium bodied with caramel toffee and subtle chocolate malt flavors all balanced by moderate hop notes and clean dry finish Three Blind Mice combines components of several malty beers for the unique brown beer experience you ve been missing After lots of research to find the perfect styles for our base the clear winners were the lighter body and caramel characters of Irish red ales the soft chocolate and toffee flavors from English brown ales and the hop component and balance of German altbiers We used traditional elements from each beer style and added our own touch for one incredible brown beer IBU ,5.5,3.57,25,50,11,58,6,47,49,5,1,3,50,5,110,1,1,0,1,0,0,0,0,1,0,0
18,269,1148,8,Ishmael is our richly flavored American copper ale This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt American grown hops and clean fermenting ale yeast to produce slightly sweet and malty beer balanced by firm bitterness ,4.9,3.71,25,50,17,41,1,55,43,18,1,20,80,7,103,1,0,1,1,0,1,0,0,1,0,0
19,270,1391,8,This is traditional style of altbeir from Düsseldorf Germany Alt literally means old in German Staying as true to the recipe as possible the Headwall Alt is brewed using German malts plus German and American hops Like the Pale Ale the Headwall Alt is cold conditioned dry hopped and krausened in the bottle or keg Similar to the Pale Ale the process takes about days ,4.5,3.69,25,50,19,42,13,54,62,19,0,25,64,10,135,1,1,0,1,1,0,0,0,1,0,1
21,272,83,8,One of Warren favorite pastimes back in the was trip to the city dump to shoot rats so much that it was common date for him and his wife to be Casey The manager of the city dump was John Schmaltz hence the nickname Schmaltz Marti We hope you enjoy our Schmaltz Alt creamy smooth dark alt brewed even better than before ,5.1,3.75,25,50,21,72,9,48,102,25,1,50,43,13,176,0,0,0,0,0,0,0,0,0,0,0
22,273,1409,8,A Brewing TraditionThis German style Altbier is our nod to an old world old school ale The word Alt is German for old and refers to the traditional style of brewing before lager yeast was discovered Balt is dark copper colored brew with creamy head gentle bitterness and clean dry finish Prost Hon BITTERNESS IBU COLOR Copper AmberMALT Pilsner Munich Cara Munich CarafaHOPS Perle TettnangYEAST German Alt ,5.5,3.8,25,50,27,65,10,45,75,22,1,29,68,12,132,0,0,0,1,0,0,0,0,1,0,1
24,275,922,8,An assertively hoppy top fermented beer polished by the wisdom and patience of lagering Think of it as an octogenarian with punk rock attitude Slightly dry this beer pairs well with hearty cuisine We also suggest sipping it on its own the complexity will keep you entertained and happy IBU ,5.5,3.84,25,50,37,50,16,60,84,32,0,46,83,19,121,0,0,0,1,1,0,0,0,1,0,1
30,281,428,8,Our German style Alt has brilliant amber hue and silky smooth medium body Its light tan head is thick retaining and laces the glass all the way down Noble hop aroma up front finishes with caramel malt nose Our old world brewing method brings out light toasted bread flavor you ll want to savor again and again It a mouthwatering thirst quenching delight ,5.25,3.64,25,50,11,67,5,35,86,21,0,28,54,4,138,0,0,0,1,1,1,0,1,1,0,1
31,282,1491,8,Zipline Brewing Co Copper Alt is an altbier which is unique German hybrid between an ale and lager This bronzed brew is designed to be extremely drinkable with subtle nuances of chocolate and hazelnut late gift of Sterling hops in this brew leaves little hoppiness for your palate to ponder before the next sip Hops Magnum Hallertau SterlingMalts Pilsner Carahell Special Caramel Carafa ABV IBUGold medal for German Style Altbier at the GABF ,5.2,3.73,25,50,24,47,9,43,71,21,0,26,69,9,134,0,0,0,0,0,0,0,0,0,0,0
32,283,854,8,Malts Pilsner Pale Caramel Caramel IBU Hops Magnum Brewer HallertauOG ºP FG ºP SRM month aging ,6.0,3.87,25,50,17,57,14,96,106,23,0,42,122,11,130,0,0,1,1,0,0,0,0,1,0,1
34,285,525,8,Inspired by the original Alt style beer of Dusseldorf Crooked Coast brings together the aromas of German noble hops and Munich malt to produce very refreshing and mellow ale that is the perfect companion on any shape of coast ,5.1,3.88,25,50,20,36,7,76,47,39,2,40,100,8,76,0,1,0,0,1,0,0,1,0,0,0
36,287,678,8,Altbier is German for Old Beer this refers to the old style of brewing using an ale yeast As opposed to lager yeast fermentation which is relatively new process This beer originated in the Westphalia region of Germany in town named Dusseldorf Due to the cool climate of Dusseldorf Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts This cool fermentation produces subtle yeast derived esters and leaves clean malty beer In addition to this cool clean fermentation altbiers are then lagered at cold temperatures to help smooth and refine the beer The result of this is very clean and hoppy red ale Coming in at ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage We use bit of Cascade hop to give it an American Twist while maintaining its German heritage This beer won Gold Medal at the and GABF and Bronze at the GABF It also won Silver Award at the World beer cup ,5.2,3.63,25,50,27,39,18,47,52,28,4,24,59,6,100,0,1,0,1,1,1,0,1,1,0,1
37,288,128,8,Festivale is an amber ale with balanced high intensity maltiness and hop presence Caramunich malts give Festivale its colour and rich caramel sweetness Festivale bucks the trend of pale summer beers offering up amber hues and tastiness for unique result that is both quaffable and refreshing IBU ,4.7,3.69,25,50,29,30,9,72,77,20,0,20,104,10,141,1,0,1,1,1,1,0,1,1,1,1
40,291,408,8,Our goal is to have very drinkable beer with nice smoked quality that will pair well with food and be something little different We blend good amount of German Rauch malt that is smoked with beachwood with US two row malt Crystal Crystal and bit of Pale Chocolate Malt We use enough US Magnum Willamette hops to balance the malty sweetness of the German Alt yeast used to ferment the beer That leaves moderately smokey notes that comes through mostly in the flavor that is balanced with the slight fruity flavor that the Alt yeast will give you very session able smoked ale with enough bitterness to balance the other flavors ,5.1,3.68,25,50,18,45,11,29,39,28,3,21,31,130,91,1,0,1,1,1,0,0,0,1,0,0
41,292,1167,8,Our Alt is much stronger version of the traditional Dusseldorf Altbiers An ancient style from the Rhineland Altbiers are ales that were virtually wiped out by German lagers in the We use plenty of European hops and German pilsner malts to brew remarkably clean beer We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt trademark ,8.5,3.96,25,50,32,64,28,47,135,49,2,65,55,15,182,0,0,0,0,0,0,0,0,0,0,0
44,295,467,8,With goal of celebrating Creemore th anniversary in big way Creemore Brewmaster Gordon Fuller and head brewer Bryan Egan travelled to Düsseldorf in early to immerse themselves in German brewing culture Learning trade secrets from the brewers at Zum Schlüssel allowed them to create unique and special variety of their own Altbier at home in Canada Follow their journey on our blog IBU ,5.0,3.64,25,50,26,61,6,50,69,27,0,22,73,8,144,0,0,1,0,1,0,1,1,1,1,1
45,296,182,8, IBUPilsner CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water ,6.6,3.66,25,50,21,39,7,40,62,34,0,47,65,5,80,0,0,1,0,0,0,0,0,0,0,1
46,297,376,8,Our altbier is crafted after the authentic or sticke style that originated in Germany It is extremely malty aggressively hoppy and cold conditioned for clean smooth finish ,6.3,4.05,25,50,27,61,11,56,61,46,0,40,77,14,110,0,0,1,1,1,1,0,1,1,0,1
47,298,9,8,A German style pale ale debatably does not exist in the craft beer industry Until now Nations German Pale Ale GPA is our experiment turned calling card We couldn be more proud of the way this beer enormous citrus passion fruit and lemony like aromas blend with bitterness that gives it recognizable finish Plus the well rounded malt profile balances out the American hops That right we used American hops to brew this cross of German Alt Koelsch It not blasphemy Just revised version of traditional style with little greatness mixed in ,5.2,3.82,25,50,6,12,1,45,17,36,0,39,50,0,23,0,0,0,1,1,1,0,1,1,0,1
48,299,507,8, This beer has won bronze silver and gold as an Alt at the Great american beer festival and now silver at the world beer cup as an Alt ,6.8,3.63,25,50,19,57,13,42,68,25,0,29,54,12,70,0,1,0,0,1,1,0,1,0,0,0
50,4201,1217,97,Bigfoot is beast of beer brimming with bold flavors of bittersweet malt and heaps of aggressive whole cone Pacific Northwest hops First introduced in the winter of Bigfoot is cult classic beer brewed in the barleywine style meaning strong robust bruiser of beer with the refined intensity of wine Bigfoot is prized by beer collectors for its supreme cellarability Under the proper conditions it can age like fine wine developing new flavors and character as it matures in the bottle Each new release or expedition is vintage dated Collect your own and see the flavors develop and progress ,9.6,4.17,60,100,11,47,37,88,73,31,0,46,90,0,77,0,1,1,1,1,1,0,1,1,0,1
51,4202,135,97,From Bell website Third Coast Old Ale is cellerable American style barleywine that has notes of dried fruit and caramel embedded in rich malt background that will grow more complex over time ,10.2,4.13,60,100,8,38,29,39,99,32,0,57,37,7,72,0,0,0,0,0,0,0,0,0,0,0
52,4203,515,97,Bold yet smooth Fermented with dates and figs this bone crushing barleywine has unique flavor IBUABV varies from ,15.0,4.02,60,100,20,55,82,56,170,30,0,107,43,13,62,0,0,0,1,0,1,0,1,1,0,1
53,4204,411,97,Aged for year in used bourbon barrels ,14.3,4.33,60,100,11,65,94,40,142,25,0,63,23,27,133,0,1,0,0,0,0,0,0,0,0,1
54,4205,659,97,Old Ruffian is hefty hop forward barley wine Seemingly mellow at the start with subtle fruit aromas and complex caramel sweetness it quickly becomes aggressive with its bold hop flavors and huge hop bitterness Ultimately the big body succulent sweetness and massive hop character come together to work wonders on your palate ,10.2,4.22,60,100,6,55,31,107,97,27,1,57,120,14,119,0,0,1,1,1,0,0,0,1,0,1
55,4206,1428,97,Massive amounts of barley malts combined with fresh harvest American hops make it aromatic and spicy on the nose Floral fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit Late warming alcohol brings all of these flavors into wonderful harmony to finish Malt Imported row German maltsHops Whole flower American hopsFood Pairings Meat pies and English cheese ,11.0,4.06,60,100,9,49,45,78,83,36,1,52,97,12,117,0,1,0,1,0,0,0,0,1,0,0
56,4207,8,97,A huge sweet barleywine with complex caramel malt notes balanced by generous hopping and high alcohol content This fruity and malty beer is best enjoyed while keeping warm in the brutal winter months IBU Bottle release Pink Wax Bottle release Yellow Wax hands not skull on flat finish label Brewed in Nov Bottle release Purple Wax Bottle release Blue Wax Bottle release Green Wax Bottle release White Wax Bottle release Yellow Wax glossy label skull on label Ohio only Bottle release Red Wax Bottle release Orange Wax Bottle release Blue Wax Bottle release Purple Wax Bottle release Black Metallic Wax Bottle release Silver Wax ,10.5,4.24,60,100,18,71,52,90,125,72,0,101,105,24,105,0,0,0,0,0,0,0,0,0,0,0
57,4208,824,97, ABV IBU ,10.9,4.09,60,100,14,49,44,47,74,28,0,43,68,17,89,0,0,1,0,0,0,0,0,0,0,1
59,4210,1388,97,This strong alluring ale is two beers in one Cracking open fresh bottle unleashes hops and heat with more than IBUs emanating from three hop varieties and sweet burn of ABV Cellaring the Flying Mouflan in cool dark place at degrees for minimum of four months will mellow out the hops and wash away the heat If you can resist temptation you will be rewarded with two memorable beers in single bottle ,9.3,4.15,60,100,17,74,41,66,143,38,1,78,72,11,130,0,0,1,1,0,0,0,0,1,0,1
61,4212,1159,97,Formerly Old Crustacean Ingredients Hugh Baird Carastan and Rogue Micro Barley Farm DareTM RiskTM Malts Chinook and Rogue Micro Hopyard Revolution Freedom Hops Pacman Yeast Free Range Coastal Water º PLATO IBU AAº Lovibond ,11.5,4.05,60,100,13,51,35,88,80,41,0,65,86,14,83,0,0,0,1,1,0,0,0,1,0,1
62,4213,697,97, Barley Wine made in the West Coast style Big malt and hops make this copper colored ale one of our most popular products Produced in September and October and released in November this Beer will improve for years to come Alcohol by volume IBU ,11.5,4.18,60,100,14,55,34,66,102,36,1,53,82,22,98,0,0,0,0,1,0,0,0,0,0,1
63,4214,56,97,Barleywine style ale brewed with Galaxy Hops starting gravity of Plato Aged eleven months in Cognac barrels ,17.3,4.57,60,100,4,68,33,31,141,26,0,66,15,20,88,0,0,0,0,0,0,0,0,0,0,0
64,4215,582,97,Part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel Darker beers like stouts and darker barley wines have typically been the favored candidates for barrel aging due to their deeper caramel and roasted flavors Helldorado breaks that mold with deep golden color from being brewed solely with English and American pale malts The bready honeyed flavors of pale malts pull out rich wildflower honey vanilla and coconut notes from the oak creating an overall flavor evocative of bourbon glazed graham crackers that stands as singularly unique in our Vintage lineup ,12.8,4.29,60,100,6,39,56,25,101,23,5,45,48,21,134,0,0,1,0,0,0,0,0,0,0,0
65,4216,1403,97,Aged in bourbon barrels IBU ,11.1,3.96,60,100,12,62,66,38,52,20,0,32,42,22,103,1,1,0,1,1,1,1,1,1,1,1
66,4217,215,97,This noble winter beer is brown in colour with flaming red highlights It has complex aroma of fruits alcohol and hops Its taste is delicately sweet and liquor like with hint of burnt caramel It is very bitter beer with aromas and flavours reminiscent of red fruit The aftertaste is accentuated by the wonderful flavour of hops ,10.2,3.94,60,100,23,54,61,70,125,33,0,54,62,22,119,0,0,0,0,0,0,0,0,0,0,0
67,4218,1403,97,Rich and complex this all malt barley wine exhibits hints of dried fruits toffee and caramel balanced by an abundance of American hops IBU ,10.4,3.87,60,100,7,47,39,64,97,27,1,46,67,2,110,0,1,1,1,1,1,0,1,1,1,1
70,4221,195,97,This limited small batch release is dark garnet red in color with candied fruit like aroma and flavor At ABV Killer Penguin is big barleywine that comes across very smooth and extremely balanced the perfect beer to share among friends ,10.0,3.59,60,100,8,34,33,29,70,28,0,41,35,4,67,0,0,0,0,0,0,0,0,0,0,0
71,4222,48,97,The base of this beer was available at couple of festivals as barleywine named Good The remainder of the batch spent several months aging in fresh Jack Daniels barrels and became Great ,14.0,4.56,60,100,8,47,36,14,81,14,0,35,10,10,76,0,0,1,1,0,0,0,0,1,0,1
72,4223,191,97,From the aroma and notes of sweet honeysuckle pineapple and grapefruit to richer hints of burnt sugar and toffee this intriguing brew is full of complex flavors The distinct character of toasted oak adds depth and contrasts the light fruit sweetness This unique take on barley wine ale surprises with its smoothness and balance of fruit hop citrus and warmth Hops Nelson Sauvin ZeusMalts Two Row Harrington Metcalfe Copeland Pale Paul CaramaltAged on toasted oak ,11.5,3.56,60,100,5,65,41,60,146,78,0,117,71,25,104,0,0,1,0,0,0,0,0,0,1,1
74,4225,538,97,A limited edition Barleywine Style Ale brewed in November in the American tradition and hand packaged to specially commemorate the anniversary of the brewery each year Gratitude Wax Colors Red Wax Orange Wax Yellow Wax Green Wax Blue Wax Indigo Wax no wax blank cap Flatitude no wax on cap Flatitude Violet Wax red wax label made to look like paper ,11.5,4.29,60,100,10,69,31,66,124,43,1,60,77,10,108,0,0,1,0,0,0,0,0,0,1,1
75,4226,1321,97,The Duck Rabbit Barleywine is the hoppiest of all the Duck Rabbit brews This is Farmville style Barleywine crafted the way brewers in Farmville have always done Loads of Amarillo hops give piney citrusy bitterness that supported beautifully by toffee malt backbone ,11.0,3.86,60,100,14,57,43,86,86,36,1,61,96,16,95,0,0,0,0,0,0,0,0,0,0,0
76,4227,1157,97,We brewed The Vermonster with pounds of malt per barrel and jacked up the pour into wide mouth thin glass goblet ,10.0,3.9,60,100,34,41,29,86,50,28,0,34,114,9,83,1,0,1,1,0,1,0,0,1,0,1
77,4228,1231,97,First brewed in England these potent malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics The American version has been blown up with more alcohol larger bottles and more hops Smuttynose Barleywine straddles these two branches of the barleywine tree When you taste it you ll notice deep rich caramel malt flavors balanced with hop bitterness Fruity hop flavors act as garnish for its amped up but classic flavor For more refined experience tuck few bottles away for year or two The alcohol will mellow and the hop aromas will fade into the background leaving the luscious malt to shine on its own IBU ,11.6,3.99,60,100,11,75,43,89,89,46,0,54,106,17,97,0,0,0,0,0,0,0,0,0,0,1
78,4229,560,97,Did you also at some point in your life get seduced by promising words like probably not the best in the world it doesn really work every time etc This American Barley Wine says it how it is It intense attention seekingly hoppy and definitely your kind of beer beer with big ego drive and huge thirst for recognition ,10.3,3.81,60,100,9,42,40,84,113,34,0,73,93,11,80,0,0,1,1,0,0,0,0,1,0,1
79,4230,886,97,Same recipe each year ABV varies slightly ,11.4,3.78,60,100,12,71,61,57,98,48,1,59,59,14,89,0,0,1,1,1,1,0,1,0,1,1
80,4231,8,97,American barleywine aged in Woodford Reserve bourbon barrels ,12.5,4.38,60,100,13,58,66,38,86,36,0,61,42,35,92,0,0,1,0,0,0,0,0,0,0,1
82,4233,1007,97, IBU First brewed to celebrate the th batch Ingredients Maris Otter wheat and chocolate malt Columbus Chinook and Centennial hops English ale yeast and our local Grimstad water ,10.0,4.07,60,100,18,70,43,85,92,26,1,53,95,15,113,0,1,0,1,1,0,0,0,1,0,1
83,4234,38,97,A West Coast style barleywine huge malt profile and very aggressive dose of premium domestic hops give Old Numbskull tantalizing complexity from the aroma to the aftertaste year spent in bourbon barrels adds amazing depth and complexity ,11.0,4.31,60,100,9,57,67,26,113,20,0,36,23,25,132,1,0,0,1,1,0,0,1,0,1,1
84,4235,528,97,Our award winning barleywine will seduce you with its assertive hop bill that changes each year to make each vintage unique citrus flavors and warming ABV Devil Milk is best served in snifter to accommodate its ABV and allow complex flavors to emerge as it warms in your hands ,10.0,3.86,60,100,15,73,45,78,125,80,2,122,117,9,103,0,0,1,0,1,1,0,1,0,0,1
85,4236,931,97,Brewed at De Proefbrouwerij Ingredients Water malt pils and caramunich candy sugar hops nugget cascade and centennial and ale yeast ,12.0,3.83,60,100,14,50,58,67,137,71,0,110,79,12,114,0,1,1,0,1,1,0,1,0,0,1
86,4237,1038,97,Collaboration with Lawson Finest LiquidsA Devilishly Sweet Barleywine aged on maple wood and brewed with heavenly dose of Vermont maple syrup Brewed in collaboration between Sean Lawson of Lawson Finest Liquids Mike Gerhart of Otter Creek Brewing Co ,10.5,4.02,60,100,9,58,31,29,238,31,0,54,28,16,195,1,0,0,1,0,0,0,0,0,0,1
87,4238,702,97,Formerly Barrel Roll No Hammerhead ,13.8,4.09,60,100,9,60,79,42,92,11,0,28,38,24,137,0,1,1,0,0,1,0,0,0,0,0
89,4240,1184,97,Chicken Killer Barley Wine is the revolutionary beer that will someday define America unique Barley Wine style It is brewed with twice the ingredients of the Santa Fe Brewing Company other beers and only half the usual amount of liquid is extracted from these ingredients This makes one substantial beer At over ten percent alcohol Chicken Killer is actually as substantial as wine but this is not to say that it is difficult to drink On the contrary be careful with this one The flavors of the beer are at first as overwhelming as the intense Santa Fe sun But in the same way our sun gives us the unrivaled brilliant colors of Santa Fe the potency of Chicken Killer gives us the remarkable spectrum of flavors that can be found in no other beer in no other city If you did not have the opportunity to try last year vintage come try this year ,10.0,3.72,60,100,13,41,40,61,85,38,0,47,61,4,104,0,1,0,0,1,0,0,0,0,0,1
90,4241,1383,97,This Barrington cold brewed coffee infused blonde barleywine is the luminous counterpart to our dark rich imperial stout In Day Night we envisioned the blonde barleywine style as way to showcase the nuanced floral fruity and spicy characteristics found in medium and lighter roast coffee blends Golden Amber in color Day Night exudes delightful aromas of almond toffee graham crackers fruity coffee lightly acidic berries and vanilla Upfront flavors of creamy coffee honey tinged malt caramel and tart berry blend cleanly with slight coffee derived bitterness MALT Pilsner Abbey Turbinado SugarHOPS Columbus ,10.0,4.2,60,100,19,69,22,137,154,49,8,61,49,32,230,0,0,0,1,0,0,0,0,1,0,1
91,4242,151,97, IBU ,12.0,4.04,60,100,10,53,63,53,71,22,1,32,56,23,114,0,0,1,1,1,1,0,1,1,0,1
93,4244,528,97,We aged limited quantity of our award winning Brewer Association of Maryland Governor Cup gold medal winner in and Barleywine Devil Milk in Kentucky White Oak Bourbon barrels to create uniquely tempting new brew Hell On Wood is medium full bodied and amber in color with thin persistent off white head Its mesmerizing citrus flavors and aromas accented by notes of charred oak vanilla and caramelized sugar give way to palate dominating hop finish balanced by smoky bourbon character and warming alcohol presence alcohol by volume There no escape prepare to fall to the seductive power of Hell On Wood ,13.1,4.02,60,100,7,66,93,34,92,32,0,55,22,33,102,0,1,1,1,1,1,0,0,1,1,1
96,4247,183,97,Our special barley wine is made with English row barley and Vienna malt Its robust malty caramel flavor is balanced by lots and lots of hops giving it great depth of character ,10.0,3.87,60,100,9,59,37,45,100,34,0,44,60,11,115,0,0,1,0,1,1,0,1,0,1,1
97,4248,1159,97,Dedicated to CrustaceansThe name sort of says it all John Maier our Brewmaster wanted to create beer that defied traditional style definitions The result was remarkably hoppy yet balanced and malty ale that quickly became cult favorite in our Newport brewpub But what was it It was not quite barley wine and not quite double or imperial IPA Who really cares about putting beers into narrow categories Great beer just drink it and enjoy IBU ,11.6,3.89,60,100,8,43,38,65,71,45,1,66,81,5,70,0,0,0,0,0,0,0,0,0,0,0
98,4249,1077,97,Father Christmas Head Beardo St Nicholas Cage man of many names he may be yet he has but one true foe This Holiday Season the Unicorn is back bearing his mantle of rainbowed chaos and this time it seasonal bitches An Imperial Red Ale American Style Barleywine or Red Double IPA call it what you will grab one and get your Jollies while the holiday fight is on ,10.0,4.01,60,100,14,53,26,76,69,38,0,47,99,13,102,0,1,1,1,1,0,0,0,1,1,1
99,4250,616,97,Bronze Medal Winner World Beer Championships Barleywines Old Backus contains just over pounds of malt and pounds of hops The original gravity is which contributes to an alcohol content of by volume This is tremendously complex beer that should be savoured slowly and in moderation It will continue to change with age as it is served unfiltered This barleywine is named after Richard Backus an old friend to the Brewery ,10.5,4.24,60,100,7,62,45,56,127,39,1,49,62,4,108,0,0,0,0,0,0,0,0,0,0,0
100,4251,649,98,Aged in the third use barrels that were once home to Kentucky bourbon and then our renowned Bourbon County Stout this traditional English style barleywine possesses the subtlety of flavor that only comes from barrel that gone through many seasons of ritual care The intricacies of the previous barrel denizens oak charcoal hints of tobacco and vanilla and that signature bourbon heat are all present in this beer Hearty and complex Bourbon County Brand Barleywine is titan and timeline bold flavorful journey through the craft of barrel aging ,14.4,4.55,40,60,5,76,72,37,132,30,0,69,17,36,163,0,1,1,0,1,0,0,0,0,0,1
101,4252,582,98,Also known as Abacus Reserve Series Bottle G PlatoF PlatoI U unitsYeast British Ale House Cases producedColor SRM Dark Ruby Bottle NotesO PlatoF PlatoI U unitsYeast British Ale House Cases producedColor SRM Dark Ruby Matured for year in blend of Heaven Hill Roses and Old Fitzgerald barrels ,12.5,4.55,40,60,5,51,74,24,105,23,0,50,19,18,112,0,0,1,1,1,1,0,1,1,0,1
